BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName
100001,LOCAL BRAND,DEBIT,CLASSIC,STATE BANK OF INDIA,9.118E+11,https://sbi.co.in,IN,IND,INDIA
100002,LOCAL BRAND,DEBIT,CLASSIC,STATE BANK OF INDIA,9.118E+11,https://sbi.co.in,IN,IND,INDIA
100003,LOCAL BRAND,DEBIT,CLASSIC,FEDERAL BANK,9.118E+12,https://www.federalbank.co.in,IN,IND,INDIA
100004,LOCAL BRAND,DEBIT,CLASSIC,CENTRAL BANK OF INDIA,9.118E+11,https://www.centralbankofindia.co.in,IN,IND,INDIA
100005,LOCAL BRAND,DEBIT,CLASSIC,BANK OF INDIA,9.118E+12,https://www.bankofindia.co.in,IN,IND,INDIA
100006,LOCAL BRAND,DEBIT,PREPAID,UCO BANK,9.118E+12,https://www.ucobank.com,IN,IND,INDIA
100007,LOCAL BRAND,DEBIT,PREPAID,RBL BANK,9.12261E+11,https://www.rblbank.com,IN,IND,INDIA
100008,LOCAL BRAND,DEBIT,PREPAID,BANK OF INDIA,9.118E+12,https://www.bankofindia.co.in,IN,IND,INDIA
100011,LOCAL BRAND,DEBIT,PREPAID,RBL BANK,9.12261E+11,https://www.rblbank.com,IN,IND,INDIA
100013,LOCAL BRAND,DEBIT,PREPAID RELOADABLE,ANDHRA BANK,9.118E+12,https://www.andhrabank.in,IN,IND,INDIA
100014,LOCAL BRAND,DEBIT,CLASSIC,CANARA BANK,9.118E+12,https://www.canarabank.com,IN,IND,INDIA
100015,LOCAL BRAND,DEBIT,CLASSIC,CANARA BANK,9.118E+12,https://www.canarabank.com,IN,IND,INDIA
100016,LOCAL BRAND,DEBIT,PLATINUM,STATE BANK OF INDIA,9.118E+11,https://sbi.co.in,IN,IND,INDIA
100017,LOCAL BRAND,DEBIT,PLATINUM,STATE BANK OF INDIA,9.118E+11,https://sbi.co.in,IN,IND,INDIA
100018,LOCAL BRAND,DEBIT,PLATINUM,STATE BANK OF INDIA,9.118E+11,https://sbi.co.in,IN,IND,INDIA
100019,LOCAL BRAND,DEBIT,PREPAID RELOADABLE,AXIS BANK,9.118E+12,http://www.axisbank.com,IN,IND,INDIA
100020,LOCAL BRAND,DEBIT,CLASSIC,PUNJAB NATIONAL BANK,9.118E+12,https://www.pnbindia.in,IN,IND,INDIA
100021,LOCAL BRAND,DEBIT,CLASSIC,STATE BANK OF INDIA,9.118E+11,https://sbi.co.in,IN,IND,INDIA
100022,LOCAL BRAND,DEBIT,CLASSIC,STATE BANK OF INDIA,9.118E+11,https://sbi.co.in,IN,IND,INDIA
100023,LOCAL BRAND,DEBIT,CLASSIC,STATE BANK OF INDIA,9.118E+11,https://sbi.co.in,IN,IND,INDIA
100024,LOCAL BRAND,DEBIT,CLASSIC,DHANLAXMI BANK,9.14877E+11,http://www.dhanbank.com,IN,IND,INDIA
100025,LOCAL BRAND,DEBIT,CLASSIC,CANARA BANK,9.118E+12,https://www.canarabank.com,IN,IND,INDIA
100026,LOCAL BRAND,DEBIT,CLASSIC,BANK OF INDIA,9.118E+12,https://www.bankofindia.co.in,IN,IND,INDIA
100027,LOCAL BRAND,DEBIT,CLASSIC,UNITED BANK OF INDIA,9.118E+12,https://www.unitedbank.co.in,IN,IND,INDIA
100030,LOCAL BRAND,DEBIT,PREPAID,YES BANK,9.18777E+11,https://www.yesbank.in,IN,IND,INDIA
100031,LOCAL BRAND,DEBIT,PREPAID,AXIS BANK,9.118E+12,http://www.axisbank.com,IN,IND,INDIA
100032,LOCAL BRAND,DEBIT,PREPAID RELOADABLE,YES BANK,9.18777E+11,https://www.yesbank.in,IN,IND,INDIA
100033,LOCAL BRAND,DEBIT,PREPAID,ANDHRA BANK,9.118E+12,https://www.andhrabank.in,IN,IND,INDIA
100034,LOCAL BRAND,DEBIT,PLATINUM,CANARA BANK,9.118E+12,https://www.canarabank.com,IN,IND,INDIA
100035,LOCAL BRAND,DEBIT,CLASSIC,PUNJAB NATIONAL BANK,9.118E+12,https://www.pnbindia.in,IN,IND,INDIA
100036,LOCAL BRAND,DEBIT,CLASSIC,STATE BANK OF INDIA,9.118E+11,https://sbi.co.in,IN,IND,INDIA
100037,LOCAL BRAND,DEBIT,CLASSIC,SHAMRAO VITHAL CO-OPERATIVE BANK,9.12267E+11,https://www.svcbank.com,IN,IND,INDIA
100038,LOCAL BRAND,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
100039,LOCAL BRAND,DEBIT,CLASSIC,STATE BANK OF INDIA,9.118E+11,https://sbi.co.in,IN,IND,INDIA
111111,LOCAL BRAND,DEBIT,CLASSIC,CENTRAL BANK OF INDIA,9.118E+11,https://www.centralbankofindia.co.in,IN,IND,INDIA
140300,UATP,CREDIT,UATP,"YATRA ONLINE, LTD.",9.11243E+11,https://www.yatra.com,IN,IND,INDIA
140301,UATP,CREDIT,UATP,"YATRA ONLINE, LTD.",9.11243E+11,https://www.yatra.com,IN,IND,INDIA
140302,UATP,CREDIT,UATP,"YATRA ONLINE, LTD.",9.11243E+11,https://www.yatra.com,IN,IND,INDIA
140303,UATP,CREDIT,UATP,"YATRA ONLINE, LTD.",9.11243E+11,https://www.yatra.com,IN,IND,INDIA
140304,UATP,CREDIT,UATP,"YATRA ONLINE, LTD.",9.11243E+11,https://www.yatra.com,IN,IND,INDIA
140305,UATP,CREDIT,UATP,"YATRA ONLINE, LTD.",9.11243E+11,https://www.yatra.com,IN,IND,INDIA
140306,UATP,CREDIT,UATP,"YATRA ONLINE, LTD.",9.11243E+11,https://www.yatra.com,IN,IND,INDIA
140307,UATP,CREDIT,UATP,"YATRA ONLINE, LTD.",9.11243E+11,https://www.yatra.com,IN,IND,INDIA
140308,UATP,CREDIT,UATP,"YATRA ONLINE, LTD.",9.11243E+11,https://www.yatra.com,IN,IND,INDIA
140309,UATP,CREDIT,UATP,"YATRA ONLINE, LTD.",9.11243E+11,https://www.yatra.com,IN,IND,INDIA
140310,UATP,CREDIT,UATP,"YATRA ONLINE, LTD.",9.11243E+11,https://www.yatra.com,IN,IND,INDIA
140311,UATP,CREDIT,UATP,"YATRA ONLINE, LTD.",9.11243E+11,https://www.yatra.com,IN,IND,INDIA
140312,UATP,CREDIT,UATP,"YATRA ONLINE, LTD.",9.11243E+11,https://www.yatra.com,IN,IND,INDIA
140313,UATP,CREDIT,UATP,"YATRA ONLINE, LTD.",9.11243E+11,https://www.yatra.com,IN,IND,INDIA
140314,UATP,CREDIT,UATP,"YATRA ONLINE, LTD.",9.11243E+11,https://www.yatra.com,IN,IND,INDIA
